id,example_id,expected_label,label,scenario,subject,body,text,purpose,provenance
aug-0209,e660423ae68eb9a1,phishing,1,credential_theft,Urgent: travel account access expires before the office closes,Your travel account will be disabled before the office closes. Sign in at https://example-payments-verify.example.invalid and enter your password immediately to prevent closure.,"Subject: Urgent: travel account access expires before the office closes

Body: Your travel account will be disabled before the office closes. Sign in at https://example-payments-verify.example.invalid and enter your password immediately to prevent closure.",training-only,controlled-synthetic
aug-0136,beac7c58c92db64e,legitimate,0,account_update,Your monthly Example Campus statement is ready,Your monthly statement is available in the Example Campus application. Open the application directly to view it. This notification does not request payment details or a password.,"Subject: Your monthly Example Campus statement is ready

Body: Your monthly statement is available in the Example Campus application. Open the application directly to view it. This notification does not request payment details or a password.",training-only,controlled-synthetic
aug-0357,533d6c62d7af2deb,phishing,1,payroll_impersonation,Payroll account must be reconfirmed,"Payroll processing has stopped. Reply with your bank account, date of birth and employee password before the office closes so salary can be released.","Subject: Payroll account must be reconfirmed

Body: Payroll processing has stopped. Reply with your bank account, date of birth and employee password before the office closes so salary can be released.",training-only,controlled-synthetic
aug-0191,96a41835362ca86d,legitimate,0,newsletter,Service maintenance this weekend,Planned maintenance will affect the cloud storage between 01:00 and 03:00 on Sunday. Existing files and account settings will remain unchanged. Status updates are available in the usual service dashboard.,"Subject: Service maintenance this weekend

Body: Planned maintenance will affect the cloud storage between 01:00 and 03:00 on Sunday. Existing files and account settings will remain unchanged. Status updates are available in the usual service dashboard.",training-only,controlled-synthetic
aug-0192,fa69fc2607d85eda,legitimate,0,newsletter,Service maintenance this weekend,Planned maintenance will affect the payroll between 01:00 and 03:00 on Sunday. Existing files and account settings will remain unchanged. Status updates are available in the usual service dashboard.,"Subject: Service maintenance this weekend

Body: Planned maintenance will affect the payroll between 01:00 and 03:00 on Sunday. Existing files and account settings will remain unchanged. Status updates are available in the usual service dashboard.",training-only,controlled-synthetic
aug-0315,51ada6ee4540b88a,phishing,1,attachment_malware,Unpaid invoice escalated,Final notice for invoice INV-6240. Open the attached macro-enabled document and enable editing to see the amount due. Payment must be made before 4 PM.,"Subject: Unpaid invoice escalated

Body: Final notice for invoice INV-6240. Open the attached macro-enabled document and enable editing to see the amount due. Payment must be made before 4 PM.",training-only,controlled-synthetic
aug-0002,5f4f310a67864fdc,legitimate,0,security_notice,New sign-in to your student portal,"A sign-in from a new tablet near Cardiff was recorded. If this was you, no action is required. If it was not you, open the official student portal application directly and review recent activity. We will never ask for your password by email.","Subject: New sign-in to your student portal

Body: A sign-in from a new tablet near Cardiff was recorded. If this was you, no action is required. If it was not you, open the official student portal application directly and review recent activity. We will never ask for your password by email.",training-only,controlled-synthetic
aug-0114,1d66b5ceaa7b3e45,legitimate,0,urgent_work,Room change for today's meeting,The meeting has moved to room 2B14 and still starts at 10:00. Please tell the project group before the session begins. No purchase or account action is required.,"Subject: Room change for today's meeting

Body: The meeting has moved to room 2B14 and still starts at 10:00. Please tell the project group before the session begins. No purchase or account action is required.",training-only,controlled-synthetic
aug-0227,5fed6fc46ff982f5,phishing,1,security_impersonation,Unusual sign-in requires verification,We blocked a sign-in from Cardiff. Confirm your identity at https://security-check.example.invalid and provide your password and one-time code now.,"Subject: Unusual sign-in requires verification

Body: We blocked a sign-in from Cardiff. Confirm your identity at https://security-check.example.invalid and provide your password and one-time code now.",training-only,controlled-synthetic
aug-0012,521f831dbe219c00,legitimate,0,security_notice,New sign-in to your travel account,"A sign-in from a new tablet near Cardiff was recorded. If this was you, no action is required. If it was not you, open the official travel account application directly and review recent activity. We will never ask for your password by email.","Subject: New sign-in to your travel account

Body: A sign-in from a new tablet near Cardiff was recorded. If this was you, no action is required. If it was not you, open the official travel account application directly and review recent activity. We will never ask for your password by email.",training-only,controlled-synthetic
